
Project				Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	106006
			BB17-000284-93	BB17-000284-93	SHCS HEX, 3/4-10UNRCX2,5, 316SH	DepReq	POitem	         4501728262	                  70	-6	             12			22.11.2022	06.12.2022	C03	             8792202		BC5	EA	            180
			BB17-000284-92	BB17-000284-92	SHCS HEX, 5/8-11UNRCX2, 316SH	DepReq	ProjSt			-8					06.12.2022	C03	             8792202		BC5	EA	            180
			BB17-000103-10	BB17-000103-10	WASHER, LOCK,REGULAR SPRING, .625 NOM,31	DepReq	ProjSt			-8					06.12.2022	C03	             8792202		BC5	EA	            189
			BB15-000245-30	BB15-000245-30	PIN, DOWEL, Ø1/4" x 0.50", 316SS	DepReq	PurRqs	           17583481	                  10	-1	              2	28.10.2022		04.05.2023	06.12.2022	C03	             8792202		M25	EA	            159
			BB17-000162-14	BB17-000162-14	PIN, SLOTTED, SPRING, .375 ODX .750 L 3	DepReq	ProjSt			-2					06.12.2022	C03	             8792202		BC0	EA	            150
			BB15-000245-55	BB15-000245-55	PIN ORIENTATION	DepReq	ProjSt			-8					06.12.2022	C03	             8792202		BC3	EA	            180
			BB28-000279-87	BB28-000279-87	WLDMNT, CVR, SCM	DepReq	POitem	         4501730946	                  30	-1	              2			20.12.2022	06.12.2022	C03	             8792202		BC4	EA	            280
			BB20-000119-10	BB20-000119-10	O-RING, 64,77x2,62, NBR70A	DepReq	ProjSt			-4					06.12.2022	C03	             8792202		B02	EA	            180
			BB20-000102-68	BB20-000102-68	O-RING, AS568-117, .799 ID X .103 CS,BUN	DepReq	POitem	         4501744706	                  10	-1	              3			17.11.2022	06.12.2022	C03	             8792202		B02	EA	            180
			BB17-000284-94	BB17-000284-94	SHCS HEX, 7/8-9UNRCX2, 660D	DepReq	POitem	         4501738767	                  40	-2	              4			01.02.2023	06.12.2022	C03	             8792202		BC5	EA	            180
			BB20-000111-75	BB20-000111-75	O-RING, 43,69x3, NBR90A	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		B02	EA	            180
			BB15-000199-89	BB15-000199-89	XDCR ASSY,PRESS,POD,4-20 MA, 0-15000 PSI	DepReq	ShpgNt	         4501724758	                  20	-27	             54			16.12.2022	06.12.2022	C03	             8792202		BC7	EA	            200
			BB17-000104-71	BB17-000104-71	SHCS HEX, 3/8-16UNRCX1,75, 316SH	DepReq	ProjSt			-8					06.12.2022	C03	             8792202		BC5	EA	            280
			BB17-000103-07	BB17-000103-07	WASHER, LOCK,REGULAR SPRING, .437 NOM,31	DepReq	ProjSt			-2					06.12.2022	C03	             8792202		BC5	EA	            189
			BB88-KM0328-01	BB88-KM0328-01	CONN,ICON SEM, 16 WAY BRANTNERCABLE MOUN	DepReq	ProjSt			-2					06.12.2022	C03	             8792202		BC7	EA	            280
			BB88-KM0328-02	BB88-KM0328-02	ICON SEM,CONN,90 WAY BRANTNERCABLE MOUN	DepReq	ShpgNt	         4501726461	                  20	-2	              4			19.10.2022	06.12.2022	C03	             8792202		BC7	EA	            280
			BB88-KM0328-03	BB88-KM0328-03	ICON SEM,CONN,96 WAY BRANTNERCABLE MOUN	DepReq	ShpgNt	         4501726461	                  30	-2	              4			19.10.2022	06.12.2022	C03	             8792202		BC7	EA	            280
			BB20-000102-21	BB20-000102-21	O-RING, 82,14x3,53, NBR70A	DepReq	ProjSt			-4					06.12.2022	C03	             8792202		TS9	EA	            180
			BB15-000624-75	BB15-000624-75	POD PART, INSULATOR, ROV CONNECTOR	DepReq	ProjSt			-4					06.12.2022	C03	             8792202		BC3	EA	            180
			10041169	10041169	ICON AUX SEM 1200 BAUD 3K/4K PROTOCOL	DepReq	POitem	         4501745208	                  20	-1	              2			06.12.2022	06.12.2022	M01	             8792202		BA1	EA	            130
			BB15-000656-19	BB15-000656-19	FILTER ELEMENT, HYDR, 8" LENGTH, 210BAR	DepReq	ProjSt			-2					06.12.2022	C03	             8792202		U30	EA	            180
			BB15-000226-18	BB15-000226-18	FLUID, DIELECTRIC, POLYDIMETHYLSILOXANE	DepReq	ProjSt			-173					06.12.2022	C03	             8792202		BC0	GAL	            140
			BB15-000681-97	BB15-000681-97	ACCUMULATOR, BLADDER,1.25L, 207 bar	DepReq	POitem	         4501726434	                  20	-3	              6			22.11.2022	06.12.2022	S03	             8792202	            2	BC5	EA	            240
			BB17-000278-06	BB17-000278-06	COLLAR, .562 M/P, 20000 PSI	DepReq	ShpgNt	         4501726954	                  70	-2	              6			23.05.2022	06.12.2022	C03	             8792202		M25	EA	            280
			BB15-000693-20	BB15-000693-20	POD PART,PL,MTG,DUAL ICON SEM,TOP	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC3	EA	            280
			BB15-000693-19	BB15-000693-19	POD PART,BRKT,MTG,DUAL ICON SEM,BOTTOM	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC4	EA	            280
			BB28-000374-04	BB28-000374-04	WLDMT, BRKT, MTG, TRANSFER BARRIER	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC4	EA	            140
			BB15-000242-18	BB15-000242-18	DECAL AKER SOLUTIONS LOGO ADHESIVE 36"x1	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC0	EA	            160
			BB15-000680-94	BB15-000680-94	CONN-ELECT, ROV MATEABLE, RECEPTACLE, 4	DepReq	ShpgNt	         4501724371	                  20	-3	              6			21.09.2022	06.12.2022	C03	             8792202		BC7	EA	            250
			BB15-000686-68	BB15-000686-68	LTPC, DUMMY, NO INSERTS, DELRIN	DepReq	ProjSt			-3					06.12.2022	C03	             8792202		BC7	EA	            250
			BB28-000327-18	BB28-000327-18	WLDMNT,MANF,VERT,TRIPLE DIR CONTROL SPM	DepReq	POitem	         4501726466	                  60	-1	              2			09.11.2022	06.12.2022	C03	             8792202		U30	EA	            218
			BB28-000327-19	BB28-000327-19	WLDMNT,MANF,VERT,TRIPLE DIR CONTROL SPM	DepReq	POitem	         4501726466	                  50	-1	              2			09.11.2022	06.12.2022	C03	             8792202		U30	EA	            224
			10071545	10071545	WLDMNT,MANF,VERT,TRIPLE DIR CONTROL SPM	DepReq	POitem	         4501726466	                  30	-1	              2			09.11.2022	06.12.2022	C03	             8792202		U30	EA	            218
			10110665	10110665	MANF,VERT,TRIPLE DIR CONTROL SPM VLVS	DepReq	POitem	         4501726466	                  40	-1	              2			09.11.2022	06.12.2022	C03	             8792202		U30	EA	            218
			BB20-000111-21	BB20-000111-21	O-RING, 9,25x1,78, NBR70A	DepReq	ProjSt			-18					06.12.2022	C03	             8792202		B02	EA	            180
			BB17-000214-40	BB17-000214-40	CLAMP, MOUNTING, HP ACCUMULATOR TO	DepReq	ProjSt			-2					06.12.2022	C03	             8792202		BC4	EA	            280
			BB17-000103-01	BB17-000103-01	WASHER, LOCK, REGULAR SPRING, .250 NOM	DepReq	ProjSt			-127					06.12.2022	C03	             8792202		BC5	EA	            189
			BB17-080297-16	BB17-080297-16	WASHER FLAT M10 FORM'A' ST STL BS4320	DepReq	ProjSt			-2					06.12.2022	C02	             8792202		BC5	EA	            186
			BB15-000733-01	BB15-000733-01	WIRE,22 AWG,WHT,600V,0.0425 OD19X34, FLH	DepReq	ProjSt			-500,000					06.12.2022	C03	             8792202		BC7	FT	            180
			BB15-000733-02	BB15-000733-02	WIRE,22 AWG,BLK,600V,0.0425 OD19X34, FLH	DepReq	ProjSt			-500,000					06.12.2022	C03	             8792202		BC7	FT	            180
			BB15-000205-13	BB15-000205-13	TIE, WRAP, 0-2.000 DIA, CABLE	DepReq	ProjSt			-500					06.12.2022	L02	             8792202		BC0	EA	            159
			BB15-000367-32	BB15-000367-32	ELECT-MISC, WIRE MARKER, HEATSHRINK	DepReq	ProjSt			-500					06.12.2022	C03	             8792202		BC0	EA	            159
			BB17-000293-28	BB17-000293-28	SHCS HEX, 5/16-18UNRCX2,25, 316SH	DepReq	ProjSt			-8					06.12.2022	C03	             8792202		BC5	EA	            280
			BB15-000542-02	BB15-000542-02	RAW-TBG,SMLS,.562ODX.125W,20KSI,316SS,MP	DepReq	ProjSt			-3,000					06.12.2022	C03	             8792202		BC5	FT	            280
			BB17-000182-04	BB17-000182-04	PLUG,HEX HD,.500 MNPT,7200PSI316 STAINL	DepReq	ProjSt			-2					06.12.2022	C03	             8792202		BC0	EA	            159
			BB15-000688-49	BB15-000688-49	CONN PART,ELECT,BOOT SEAL,NATRBR F/WIRE	DepReq	ProjSt			-50					06.12.2022	C03	             8792202		BC7	EA	            250
			BB17-000293-30	BB17-000293-30	SHCS HEX, 5/16-18UNRCX1,5, 316SH	DepReq	ProjSt			-4					06.12.2022	C03	             8792202		BC5	EA	            280
			BB17-000102-28	BB17-000102-28	BOLT HEX, 0,25-20UNRCX1,0, 316SH	DepReq	ProjSt			-2					06.12.2022	C03	             8792202		BC5	EA	            280
			BB15-000624-84	BB15-000624-84	SPACER REMOTE PRECHARGE VALVE	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC3	EA	            180
			BB15-000624-85	BB15-000624-85	GUARD-POD PT.-R'MOTE.P'CH.VAL.	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC3	EA	            180
			BB17-000150-81	BB17-000150-81	SHCS HEX, #10-24UNCX2,25, 316SH	DepReq	POitem	         4501728262	                 100	-4	              8			22.11.2022	06.12.2022	C03	             8792202		BC5	EA	            280
			BB17-000114-73	BB17-000114-73	PLUG, .250 M/P, 20000 PSI, 316 STAINLESS	DepReq	ShpgNt	         4501726954	                  90	-3	              6			23.05.2022	06.12.2022	C03	             8792202		M25	EA	            180
			BB17-000278-04	BB17-000278-04	COLLAR, .250 M/P, 20000 PSI, 316 STAINLE	DepReq	ShpgNt	         4501726954	                 110	-8	             16			23.05.2022	06.12.2022	C03	             8792202		M25	EA	            159
			BB17-000114-70	BB17-000114-70	PLUG, HOLLOW HEX SOCKT HD, .250 MSAE, 31	DepReq	ProjSt			-33					06.12.2022	C03	             8792202		M25	EA	            159
