
Project				Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	106006
			BB15-000686-63	BB15-000686-63	CONN-ELECT PART,RUBBER BOOT SEAL CAP	DepReq	ShpgNt	         4501724371	                  50	-4	              8			15.09.2022	06.12.2022	C03	             9241201		BC7	EA	            250
			BB15-000719-81	BB15-000719-81	FEMALE CONN FS FOR RAYCHEM 22GA "HT"(.0	DepReq	ProjSt			-108					06.12.2022	C03	             9241201		BQ7	EA	            159
			BB15-000719-82	BB15-000719-82	MALE CONN MP FOR RAYCHEM 22 GA"HT"(.041	DepReq	ProjSt			-22					06.12.2022	C03	             9241201		BQ7	EA	            180
			BB15-000181-04	BB15-000181-04	WIRE STUB,RAYCHEM 22GA(.041 DIA)"HT"	DepReq	QM-lot	        10003212786		-102	            204		26.10.2022	26.10.2022	06.12.2022	C03	             9241201		BC0	EA	            140
			BB15-000606-07	BB15-000606-07	2 PIN BOOT	DepReq	QM-lot	        10003212785		-77	            154		26.10.2022	26.10.2022	06.12.2022	C03	             9241201		BC0	EA	            160
			10102437	10102437	SIX PIN TERMINAL BLOCK FOR CONNECTING UP	DepReq	ShpgNt	         4501726461	                  70	-19	             30			19.10.2022	06.12.2022	C03	             9241201		BC7	EA	            180
			BB18-000130-64	BB18-000130-64	TAG, IDENTIFICATION,1.000 DIAW/.187 MTG	DepReq	ProjSt			-10					06.12.2022	L02	             9241201		BC0	EA	            159
			BB17-000242-31	BB17-000242-31	SPCR,VOL EXCLUDER,269 CUBIC INCH DISPLAC	DepReq	ProjSt			-2					06.12.2022	C03	             9241201		BC3	EA	            159
			BB17-000242-29	BB17-000242-29	SPCR,VOL EXCLUDER,623 CUBIC INCH,DISPLAC	DepReq	ProjSt			-4					06.12.2022	C03	             9241201		BC3	EA	            160
			BB17-000125-01	BB17-000125-01	WASHER, FLAT,TYPE "B" REGULAR, .250 NOM,	DepReq	ProjSt			-24					06.12.2022	C03	             9241201		BC5	EA	            189
			BB17-000243-51	BB17-000243-51	SCREW HEX, 0,375-16UNRCX1,25, 316SH	DepReq	ProjSt			-4					06.12.2022	C03	             9241201		BC5	EA	            160
			BB28-000327-21	BB28-000327-21	WLDMT,MANIF,HYDR,ADAPTER,8,250PSI VLV MT	DepReq	POitem	         4501726466	                  20	-2	              4			09.11.2022	06.12.2022	C03	             9241201		U30	EA	            218
			BB18-000132-03	BB18-000132-03	VLV BODY,1/4" CHK VLV	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		BC3	EA	            280
			BB15-000153-09	BB15-000153-09	VLV,CHK,CARTRIDGE TYPE,1/4",15KSPI,0.53	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		BC0	EA	            280
			BB17-000294-41	BB17-000294-41	PLG,1.000 M/P,20KPSI W.P.,316SST	DepReq	ShpgNt	         4501726954	                  50	-1	              2			23.05.2022	06.12.2022	L02	             9241201		M25	EA	            159
			BB17-000278-15	BB17-000278-15	NUT, GLAND, 1.000 M/P, 20000 PSI, 316 SS	DepReq	ShpgNt	         4501726954	                  40	-1	              2			23.05.2022	06.12.2022	C03	             9241201		M25	EA	            280
			BB17-000242-32	BB17-000242-32	Volume Excluder, 518.5 cu in	DepReq	ProjSt			-2					06.12.2022	C03	             9241201		BC3	EA	            180
			BB11-KS0702-02	BB11-KS0702-02	E/H SELECTOR VALVE -SWT HP LHS 24VDC	DepReq	POitem	         4501726885	                  50	-2	              4			07.11.2022	06.12.2022	C03	             9241201		U30	EA	            280
			BB11-KS0702-01	BB11-KS0702-01	E/H SELECTOR VALVE - SWT (24Vdc)	DepReq	POitem	         4501726885	                  30	-3	              6			07.11.2022	06.12.2022	C03	             9241201		U30	EA	            280
			BB20-000119-60	BB20-000119-60	O-RING, 10,51x1,83, NBR90A	DepReq	ProjSt			-16					06.12.2022	C03	             9241201		B02	EA	            180
			BB15-000205-52	BB15-000205-52	TIE, LOCKING, F/CABLE, MINIATURE	DepReq	ProjSt			-500					06.12.2022	C03	             9241201		BC0	EA	            280
			BB20-000121-21	BB20-000121-21	O-RING,STATIC FACE SEAL ASSY,15KSI	DepReq	ProjSt			-19					06.12.2022	C03	             9241201		B02	EA	            180
			BB17-000125-27	BB17-000125-27	WASHER, FLAT,TYPE "B" REGULAR, .375 NOM,	DepReq	ProjSt			-12					06.12.2022	C03	             9241201		BC5	EA	            189
			BB17-000120-01	BB17-000120-01	NUT HEX, 1/4-20UNC, 316SH	DepReq	ProjSt			-41					06.12.2022	C03	             9241201		BC5	EA	            140
			BB17-000278-09	BB17-000278-09	NUT, GLAND, .562 M/P, 20000 PSI, 316 SS	DepReq	ProjSt			-2					06.12.2022	C03	             9241201		VJ1	EA	            280
			BB17-000293-27	BB17-000293-27	SHCS HEX, 5/16-18UNRCX1,25, 316SH	DepReq	QM-lot	        10003211087		-8	             16		21.10.2022	21.10.2022	06.12.2022	C03	             9241201		BC5	EA	            280
			10129765	10129765	SHCS HEX, 3/8-16UNRCX1,5, 316SH	DepReq	ProjSt			-4					06.12.2022	C03	             9241201		BC5	EA	            280
			BB17-000103-03	BB17-000103-03	WASHER, LOCK,REGULAR SPRING, .375 NOM,	DepReq	ProjSt			-46					06.12.2022	C03	             9241201		BC5	EA	            150
			BB15-000693-21	BB15-000693-21	ADAPTER, ACCUMULATOR, SCM PART	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		BC3	EA	            280
			10155588	10155588	ACCUM, BLADDER, 5.00 GAL, 6KSI, AE STEM	DepReq	POitem	         4501730611	                  20	-1	              2			23.11.2022	06.12.2022	C03	             9241201		BC5	EA	            230
			10172105	10172105	CPLG,HYD,FEM,0.25",15KPSI,R.I.CROWN SEAL	DepReq	ProjSt			-33					06.12.2022	C03	             9241201		BC0	EA	            160
			10158837	10158837	POD, BRKT,STABILIZER,LP ACCUMULATOR wAE	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		BC4	EA	            160
			10158990	10158990	HEX JAM NUT, SPECIAL, 2-12UNF, 316SS	DepReq	POitem	         4501738767	                  20	-1	              2			01.02.2023	06.12.2022	C03	             9241201		BC5	EA	            160
			10197451	10197451	SHCS HEX, 1/4-20UNRCX2625, 718, PTFE	DepReq	POitem	         4501728262	                  20	-84	            168			28.11.2022	06.12.2022	C03	             9241201		BC5	EA	            189
			BB17-000103-05	BB17-000103-05	WASHER SPRING	DepReq	ProjSt			-18					06.12.2022	L02	             9241201		BC5	EA	            159
			10162916	10162916	LTPC,8-WAY,RECEPTACLE (SOCKET),TITANIUM	DepReq	ShpgNt	         4501724371	                  40	-1	              2			05.10.2022	06.12.2022	C03	             9241201		BC7	EA	            250
			10228678	10228678	SHCS HEX, 5/16-18UNRCX2,5, 718, PTFE	DepReq	POitem	         4501728264	                  40	-20	             40			23.11.2022	06.12.2022	C03	             9241201		BC5	EA	            160
			BB17-000293-26	BB17-000293-26	SHCS HEX, 5/16-18UNRCX2,5, 316SH	DepReq	ProjSt			-6					06.12.2022	C03	             9241201		BC5	EA	            280
			BBH79260204473	BBH79260204473	O-RING, 227,97x6,99, NBR70A	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		B02	EA	            180
			10230504	10230504	O-RING, 50,17x5,33, NBR70A	DepReq	ProjSt			-2					06.12.2022	C03	             9241201		B02	EA	            180
			10241909	10241909	CONN, STAB, 4-WAY, RECEPTACLE, ODI	DepReq	ProjSt			-8					06.12.2022	C03	             9241201		BC7	EA	            250
			BB26-080001-19	BB26-080001-19	SHEET NEOPRENE 1000 x 600 x 3MM THK	DepReq	ProjSt			-1					06.12.2022	L02	             9241201		BC0	EA	             60
			10259391	10259391	SHCS LOW HEX, M4X8, A4-80	DepReq	POitem	         4501728262	                  80	-3	              6			23.11.2022	06.12.2022	P01	             9241201		BC5	EA	            176
			10261488	10261488	CABLE TIE MOUNT CTAM	DepReq	ProjSt			-3					06.12.2022	C02	             9241201		BC6	EA	            159
			10140846	10140846	SHCS HEX, M6X45, A4-80	DepReq	ProjSt			-10					06.12.2022	P01	             9241201		BC5	EA	            216
			BB15-000270-02	BB15-000270-02	WIRE CLOTH, .047 WIRE DIA, .120 OPEN WID	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		BC0	EA	            180
			BB17-000125-13	BB17-000125-13	WASHER,FLAT, TYPE "B" REGULAR, .500 NOM	DepReq	ProjSt			-6					06.12.2022	C03	             9241201		BC5	EA	            189
			BB17-000102-84	BB17-000102-84	SCREW HEX, 0,5-13UNRCX1,25, 316SH	DepReq	ProjSt			-2					06.12.2022	C03	             9241201		BC5	EA	            280
			BB16-000108-08	BB16-000108-08	CLAMP, TUBE, .375, 1 LINE,316STAINLESSS	DepReq	ProjSt			-5					06.12.2022	C03	             9241201		BC0	EA	            189
			10240219	10240219	SCR, SHCS,.375-16 UNC-3A X .625 LG, 316	DepReq	ProjSt			-4					06.12.2022	C03	             9241201		BC5	EA	            280
			BB17-100084-00	BB17-100084-00	SHCS HEX, 3/8-16UNRCX1, 316SH	DepReq	QM-lot	        10003210787		-2	              4		20.10.2022	20.10.2022	06.12.2022	S03	             9241201		BC5	EA	             90
			10321088	10321088	SHCS HEX, 1/2-13UNRCX0,5, 316SH	DepReq	POitem	         4501728261	                  30	-2	              4			09.11.2022	06.12.2022	S03	             9241201		BC5	EA	             90
			BB17-000278-10	BB17-000278-10	NUT, GLAND, .250 M/P, 20000 PSI, 316 SS,	DepReq	ProjSt			-8					06.12.2022	C02	             9241201		M25	EA	            140
			BB17-100605-00	BB17-100605-00	SCREW HEX, 0,5-13UNRCX1,0, 316SH	DepReq	POitem	         4501728261	                  50	-2	              4			09.11.2022	06.12.2022	S03	             9241201		BC5	EA	             90
			BB17-200641-00	BB17-200641-00	NUT HEX, 0,375-16UNC, 316SH	DepReq	ProjSt			-20					06.12.2022	C03	             9241201		BC5	EA	            260
			BB17-MB0005-09	BB17-MB0005-09	WASHER, SERRATED; 1/4"; 316 SS	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		BC5	EA	             90
			10155144	10155144	SHCS HEX, 1/4-20UNRCX0,625, A4-80	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		BC3	EA	             90
			10155144	10155144	SHCS HEX, 1/4-20UNRCX0,625, A4-80	DepReq	ProjSt			-2					06.12.2022	C03	             9241201		BC3	EA	             90
			10125001	10125001	SHCS HEX, M12X35, A4-80	DepReq	ProjSt			-6					06.12.2022	S03	             9241201		BC5	EA	            189
			10214299	10214299	NUT JAM HEX, 0,875-14UNF, 316SH	DepReq	ProjSt			-5					06.12.2022	S03	             9241201		BC5	EA	             90
			BB17-MX0008-00	BB17-MX0008-00	SHCS HEX, M6X16, A4-80	DepReq	ProjSt			-2					06.12.2022	C03	             9241201		BC5	EA	            176
			10174540	10174540	SCREW HEX, M10X20, A4-80	DepReq	POitem	         4501741016	                  20	-2	              4			08.02.2023	06.12.2022	V01	             9241201		BC5	EA	            202
			BB17-MX0008-00	BB17-MX0008-00	SHCS HEX, M6X16, A4-80	DepReq	ProjSt			-6					06.12.2022	C03	             9241201		BC5	EA	            176
			10210124	10210124	SHCS HEX, 1/4-20UNRCX1, 316SH	DepReq	ProjSt			-24					06.12.2022	P01	             9241201		BC5	EA	            176
			BS0000819	BS0000819	GLAND 1/4 MP(M) CGLX40	DepReq	ShpgNt	         4501726954	                  30	-1	              2			23.05.2022	06.12.2022	C03	             9241201		M25	EA	            260
			10269343	10269343	SCREW HEX, 0,5-13UNRCX1,5, 316SH	DepReq	QM-lot	        10003210786		-1	              2		20.10.2022	20.10.2022	06.12.2022	P01	             9241201		BC5	EA	            150
			BS0000845	BS0000845	CON, 1/2" OD(F)X1/2" NPT(M), SS-810-1-8	DepReq	ProjSt			-2					06.12.2022	Y01	             9241201		C36	EA	             49
			BS0001088	BS0001088	TUBE 1/2 ODx.065 WT SS-T8-S-065-6ME	DepReq	POitem	         4501741789	                  20	-3	             24			28.12.2022	06.12.2022	P01	             9241201		M25	M	            150
			BB17-HS0001-41	BB17-HS0001-41	TEE,UNION,1/2 TUBE,SWAGELOK, SS-810-3	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		BC0	EA	            382
			BBSS-T4-S-049-6ME	BBSS-T4-S-049-6ME	TUBE, 1/4" OD X 0.049" WT, 7.5K PSI	DepReq	POitem	         4501730759	                  11	-6	             42			08.11.2022	06.12.2022	U01	             9241201		BC0	M	            350
			BS0001097	BS0001097	TEE, 1/4" (M),  SS-400-3	DepReq	ProjSt			-2					06.12.2022	P01	             9241201		BC0	EA	            150
			BB17-060016-12	BB17-060016-12	CONNECTOR 1/4" TUBE - 7/16"-20UNF SAE PO	DepReq	ProjSt			-4					06.12.2022	Y01	             9241201		BC0	EA	            120
			10140427	10140427	REDUCER, 1/4" x 1/2" TUBE OD, SWAGELOK	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		BC0	EA	            280
			10289380	10289380	MALE ELBOW 3/8"TUBE OD TO 1/8" MALE NPT	DepReq	Stock			-5					06.12.2022	B15	             9241201		B01	EA	            159
			BB17-WE0198-17	BB17-WE0198-17	CONN,  STRAIGHT, 1/8  NPT (M) X 1/4 TUBE	DepReq	ProjSt			-3					06.12.2022	U01	             9241201		BC0	EA	            350
			10004772	10004772	3/8" x 0,049" Tubing, Swagelok tubing	DepReq	ProjSt			-6					06.12.2022	P01	             9241201		BC5	M	            150
			BB15-000719-86	BB15-000719-86	BLIND BOOT SEAL FOR BRATNER 6PIN TERMIN	DepReq	ProjSt			-28					06.12.2022	C03	             9241201		BQ7	EA	            180
			10187811	10187811	SEAL RING TERMINAL M6 16-14 AWG BLUE	DepReq	ProjSt			-2					06.12.2022	L02	             9241201		BC5	EA	            180
			10178397	10178397	CLAMP, BOLT, 304SS, 2-7/8" TO 1/8"	DepReq	POitem	         4501738767	                  30	-1	              2			01.02.2023	06.12.2022	C03	             9241201		M25	EA	            140
			10178398	10178398	STUD FT, SPECIAL, #10-32UNF X 0.75", 316	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		BC5	EA	            180
			10178399	10178399	CLAMP, LOOP, 1/2" OD 300 SS	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		M25	EA	            160
			10178460	10178460	NUT HEX, LOCK, W/ INSE, #10-32 UNF, 18.8	DepReq	ProjSt			-2					06.12.2022	C03	             9241201		BC5	EA	            160
			10178461	10178461	WASHER, FLAT, #10, 18-8 SS, 7/16"OD	DepReq	ProjSt			-1					06.12.2022	C03	             9241201		BC5	EA	            150
